READ,n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,n11,n12,n13,n14,n15,n16,n17,n18,n19,n20,n21,n22,n23,n24,n25,n26,n27,n28,n29,n30,n31,n32,n33,n34,n35,n36,n37,n38,n39,n40,n41,n42,n43,n44,n45,n46,n47,n48,n49,n50
2321,0.41872,0.410918,0.405954,0.397312,0.383951,0.371771,0.360498,0.34848,0.33955,0.334365,0.331079,0.328851,0.331208,0.342525,0.359637,0.372234,0.378628,0.383405,0.377795,0.351199,0.31913,0.288896,0.259988,0.239236,0.233304,0.238976,0.24877,0.252712,0.259445,0.276171,0.303445,0.332996,0.347855,0.354283,0.355725,0.351065,0.347391,0.35053,0.355907,0.361277,0.366561,0.36709,0.376455,0.402005,0.428151,0.440795,0.460544,0.484122,0.496003,0.507585
2332,0.432189,0.432979,0.435509,0.435095,0.429929,0.421946,0.412404,0.402068,0.391928,0.383544,0.378341,0.375585,0.370698,0.365135,0.358881,0.351488,0.343746,0.329773,0.301188,0.271323,0.244719,0.223836,0.206802,0.1918,0.19076,0.20546,0.226592,0.238269,0.245524,0.25504,0.267752,0.280284,0.288788,0.296761,0.307474,0.321377,0.334629,0.342383,0.346674,0.349719,0.35099,0.348811,0.344992,0.344091,0.347414,0.354447,0.363667,0.372856,0.381189,0.389051
2333,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2343,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2351,0.454162,0.449533,0.445491,0.441688,0.437975,0.434588,0.431691,0.428878,0.425551,0.421501,0.41709,0.412918,0.408832,0.404624,0.399354,0.392358,0.384023,0.374906,0.364797,0.353359,0.340114,0.32532,0.310628,0.299156,0.294793,0.299402,0.312617,0.332098,0.354578,0.378391,0.400335,0.418735,0.436581,0.454801,0.470116,0.478688,0.481115,0.4809,0.479026,0.475312,0.469848,0.464006,0.459561,0.456899,0.457251,0.460564,0.46643,0.472789,0.475278,0.47758
2409,0.420226,0.428538,0.434707,0.438265,0.435873,0.431462,0.435568,0.447932,0.462992,0.47607,0.489555,0.504668,0.520015,0.530979,0.535058,0.537057,0.537962,0.53482,0.522351,0.502379,0.480084,0.457986,0.437185,0.422647,0.418853,0.42505,0.433303,0.435698,0.436904,0.437692,0.43706,0.438724,0.441699,0.443915,0.446368,0.452652,0.462746,0.476783,0.492648,0.506159,0.509507,0.504314,0.498358,0.493984,0.491721,0.482662,0.466603,0.455134,0.454071,0.460865
2428,0.482516,0.479365,0.480952,0.489194,0.498618,0.50396,0.50309,0.501174,0.504153,0.512355,0.51893,0.514998,0.499325,0.478879,0.459401,0.442088,0.424753,0.404693,0.384176,0.36642,0.352131,0.340803,0.328265,0.314056,0.305243,0.306868,0.321325,0.347996,0.382541,0.420282,0.458344,0.493492,0.520216,0.537844,0.551836,0.564573,0.575033,0.577019,0.571212,0.564384,0.557483,0.549573,0.540137,0.528823,0.515199,0.500095,0.484234,0.472031,0.469435,0.4709
2606,0.447945,0.442961,0.436397,0.428128,0.421689,0.419025,0.419004,0.419536,0.41902,0.417,0.414429,0.411789,0.409322,0.408262,0.408387,0.408369,0.405078,0.398031,0.388707,0.378807,0.369993,0.363279,0.35873,0.355498,0.354525,0.356215,0.361937,0.37203,0.384567,0.396237,0.402755,0.405083,0.405267,0.405299,0.406449,0.410094,0.416543,0.424633,0.43267,0.439982,0.446774,0.453427,0.459505,0.464297,0.468803,0.473843,0.478327,0.48157,0.484189,0.486749
3004,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3009,0.601701,0.583245,0.563334,0.542254,0.520503,0.498657,0.47778,0.458685,0.441368,0.425654,0.411344,0.397827,0.383952,0.369122,0.353802,0.339726,0.327757,0.317647,0.307661,0.296956,0.28605,0.276112,0.268181,0.263089,0.261272,0.262247,0.266277,0.272966,0.282575,0.295811,0.311969,0.330474,0.351091,0.373585,0.397948,0.423371,0.447784,0.468391,0.484279,0.497878,0.509757,0.518084,0.522331,0.525089,0.528382,0.532729,0.539372,0.550435,0.565852,0.584758
