READ,n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,n11,n12,n13,n14,n15,n16,n17,n18,n19,n20,n21,n22,n23,n24,n25,n26,n27,n28,n29,n30,n31,n32,n33,n34,n35,n36,n37,n38,n39,n40,n41,n42,n43,n44,n45,n46,n47,n48,n49,n50
2257,0.478045,0.474767,0.468113,0.458993,0.448851,0.436197,0.42216,0.408503,0.396022,0.383288,0.371663,0.36165,0.353061,0.346363,0.341347,0.337011,0.332975,0.329015,0.325515,0.323502,0.322916,0.323401,0.323857,0.321825,0.316341,0.311035,0.30758,0.304419,0.30118,0.298545,0.296482,0.294075,0.290406,0.288477,0.288674,0.286924,0.284714,0.28636,0.290781,0.296296,0.301348,0.307665,0.315474,0.323814,0.33283,0.339812,0.345454,0.350166,0.353756,0.355703
2315,0.444361,0.443378,0.44195,0.440421,0.437755,0.432232,0.426031,0.419039,0.411802,0.40389,0.39698,0.390664,0.384686,0.377975,0.372155,0.36738,0.363204,0.358808,0.354735,0.351509,0.348154,0.34373,0.338824,0.333837,0.329485,0.325301,0.321624,0.319474,0.318996,0.319414,0.31951,0.319149,0.319135,0.318631,0.317642,0.316722,0.316807,0.318006,0.319218,0.318692,0.316276,0.311921,0.306484,0.300764,0.295569,0.291632,0.289084,0.287367,0.285613,0.283752
2321,0.451638,0.443482,0.437141,0.432022,0.42711,0.421945,0.41635,0.409634,0.40363,0.399754,0.396961,0.396075,0.397525,0.401331,0.406715,0.412173,0.416069,0.420071,0.424145,0.427446,0.423247,0.414239,0.407191,0.402911,0.398942,0.391669,0.383075,0.374102,0.363846,0.351069,0.339447,0.331128,0.325965,0.322158,0.314901,0.305488,0.300418,0.301314,0.307875,0.315281,0.319659,0.322082,0.324867,0.327678,0.32521,0.316299,0.302751,0.287462,0.274816,0.266258
2332,0.517318,0.51976,0.523223,0.529176,0.536987,0.540683,0.541005,0.53709,0.530553,0.518927,0.503499,0.485525,0.46578,0.44264,0.42087,0.402268,0.386194,0.371832,0.360247,0.352433,0.349344,0.350636,0.354625,0.359779,0.364064,0.367626,0.372342,0.378259,0.384659,0.391326,0.395474,0.396228,0.392682,0.3878,0.382577,0.377314,0.371725,0.36667,0.362158,0.357713,0.354526,0.353018,0.353425,0.354622,0.355249,0.354302,0.35307,0.352593,0.352575,0.351595
2333,0.453422,0.457108,0.462599,0.468675,0.470721,0.468432,0.465805,0.463745,0.45983,0.454373,0.449376,0.444734,0.439086,0.431661,0.42437,0.417304,0.411284,0.405425,0.399963,0.393577,0.387408,0.382436,0.378861,0.374946,0.371893,0.370048,0.368933,0.367355,0.364708,0.361488,0.358567,0.356481,0.352532,0.347359,0.343654,0.341458,0.34073,0.341846,0.343977,0.34639,0.349853,0.3546,0.362273,0.369883,0.373977,0.373793,0.371528,0.369869,0.367042,0.363079
2343,0.47768,0.473752,0.47034,0.466548,0.462192,0.458344,0.455656,0.452883,0.44897,0.443517,0.436133,0.427683,0.418066,0.409124,0.400508,0.392694,0.385432,0.380138,0.376679,0.372799,0.366996,0.361812,0.358427,0.355971,0.350338,0.341836,0.333065,0.325719,0.319796,0.3154,0.315668,0.319934,0.32621,0.329601,0.330495,0.33373,0.340711,0.349703,0.355811,0.357117,0.357694,0.358593,0.360817,0.362786,0.362696,0.360802,0.356203,0.350378,0.343375,0.335147
2351,0.487341,0.48096,0.474158,0.467166,0.461486,0.45791,0.455366,0.45206,0.448322,0.444855,0.44136,0.437158,0.431561,0.4254,0.419479,0.412653,0.40444,0.396302,0.388915,0.381751,0.374745,0.36857,0.363257,0.358007,0.352765,0.347874,0.343716,0.339936,0.335672,0.331338,0.327548,0.325297,0.324312,0.324364,0.325624,0.328338,0.332214,0.337071,0.341664,0.345775,0.349426,0.352887,0.356331,0.358998,0.359815,0.359307,0.358577,0.358719,0.360847,0.364115
2409,0.430021,0.420577,0.411989,0.403323,0.396055,0.390496,0.387899,0.387252,0.387295,0.387443,0.387282,0.386111,0.384461,0.382294,0.379137,0.375592,0.371854,0.367868,0.363725,0.359138,0.353784,0.348275,0.343787,0.341157,0.338926,0.336438,0.333227,0.329897,0.32476,0.318698,0.312852,0.309017,0.305441,0.301353,0.298399,0.296607,0.296056,0.295148,0.293841,0.293183,0.293407,0.292359,0.289305,0.286496,0.286549,0.288141,0.288578,0.288201,0.287746,0.288242
2428,0.46012,0.457279,0.454026,0.448794,0.439753,0.429402,0.419201,0.409463,0.399792,0.39092,0.383731,0.378081,0.373539,0.370726,0.369825,0.369836,0.367479,0.36253,0.358167,0.354036,0.346119,0.333674,0.321037,0.309285,0.298432,0.2875,0.278509,0.272201,0.268081,0.265416,0.263165,0.260429,0.25801,0.256584,0.256697,0.25773,0.259166,0.259662,0.258592,0.255968,0.25198,0.248155,0.244992,0.242139,0.238495,0.2337,0.229166,0.226883,0.226254,0.225809
2606,0.48877,0.479292,0.469907,0.459684,0.447901,0.434864,0.421103,0.407049,0.393518,0.38156,0.372764,0.365427,0.35886,0.35503,0.352896,0.351702,0.350191,0.34975,0.351446,0.354586,0.356609,0.355685,0.348539,0.338989,0.333261,0.330134,0.328528,0.329297,0.334178,0.344665,0.358143,0.370997,0.381143,0.390732,0.398281,0.401714,0.401421,0.400036,0.399465,0.397973,0.393186,0.386839,0.382524,0.3793,0.374641,0.369029,0.364769,0.361848,0.359868,0.358201
