READ	n1	n2	n3	n4	n5	n6	n7	n8	n9	n10	n11	n12	n13	n14	n15	n16	n17	n18	n19	n20	n21	n22	n23	n24	n25	n26	n27	n28	n29	n30	n31	n32	n33	n34	n35	n36	n37	n38	n39	n40	n41	n42	n43	n44	n45	n46	n47	n48	n49	n50
4110	0.544125	0.53911	0.534295	0.529665	0.525235	0.520509	0.513887	0.503883	0.492381	0.481086	0.470306	0.460221	0.451067	0.443079	0.436631	0.432346	0.429628	0.427361	0.425038	0.422573	0.420009	0.417171	0.413985	0.410072	0.404703	0.398276	0.392044	0.38651	0.38202	0.378688	0.376532	0.375687	0.377157	0.381268	0.387061	0.393431	0.400025	0.407155	0.415482	0.425197	0.435654	0.445944	0.455375	0.464411	0.473595	0.482958	0.49271	0.502968	0.513548	0.52284
4127	0.363601	0.356772	0.35031	0.344001	0.338081	0.332665	0.32806	0.324008	0.320425	0.317196	0.314667	0.312578	0.31039	0.308566	0.306936	0.304802	0.301705	0.297709	0.292852	0.28738	0.28261	0.279322	0.276895	0.274891	0.273003	0.271822	0.271929	0.273285	0.275781	0.279558	0.284507	0.290244	0.296547	0.303474	0.311455	0.319567	0.326612	0.33298	0.338634	0.344099	0.349746	0.355717	0.361751	0.366593	0.369625	0.37072	0.370477	0.370874	0.371629	0.372808
4147	0.38798	0.387226	0.386364	0.385558	0.384821	0.384145	0.38346	0.382684	0.381853	0.380963	0.380106	0.379278	0.378514	0.377796	0.377064	0.376361	0.375674	0.374931	0.374215	0.373652	0.373334	0.373419	0.3739	0.374479	0.374966	0.375323	0.375553	0.375743	0.375947	0.376212	0.376471	0.37677	0.377225	0.37785	0.378699	0.379724	0.380802	0.381654	0.381808	0.380925	0.378919	0.375813	0.37219	0.368731	0.365501	0.362431	0.359383	0.356105	0.352134	0.347355
4152	0.386012	0.388265	0.390567	0.392594	0.393931	0.394129	0.393716	0.392939	0.392094	0.391329	0.390646	0.389902	0.388772	0.3869	0.383873	0.379987	0.375472	0.370708	0.365985	0.36132	0.35685	0.35265	0.348746	0.345262	0.342146	0.339276	0.336797	0.334826	0.333494	0.332847	0.332843	0.333377	0.334415	0.335898	0.337753	0.339806	0.34195	0.344171	0.346369	0.34842	0.350076	0.351149	0.351391	0.350783	0.349607	0.34828	0.346983	0.345831	0.344755	0.343754
4156	0.490293	0.49332	0.496291	0.49907	0.501544	0.503859	0.506272	0.50886	0.511667	0.514544	0.51731	0.519744	0.521581	0.522625	0.522793	0.522285	0.521506	0.52072	0.519963	0.519001	0.51744	0.514865	0.511295	0.506992	0.5022	0.49712	0.491799	0.486337	0.480561	0.474253	0.467352	0.459658	0.451315	0.44258	0.433849	0.425462	0.417481	0.410287	0.404223	0.399349	0.39565	0.393223	0.392085	0.391931	0.392561	0.393881	0.395569	0.397531	0.399708	0.401618
4173	0.463068	0.465832	0.46844	0.470839	0.472889	0.474554	0.475939	0.477121	0.478142	0.478989	0.479457	0.479449	0.47893	0.477516	0.474934	0.471541	0.46796	0.464427	0.461153	0.457956	0.45481	0.451473	0.447797	0.443682	0.439203	0.43499	0.43124	0.428164	0.425878	0.424402	0.423757	0.423738	0.424109	0.424628	0.425473	0.426711	0.428347	0.430525	0.433198	0.436224	0.439226	0.442057	0.444497	0.446331	0.447723	0.44906	0.450501	0.452037	0.453479	0.454719
4197	0.469724	0.467821	0.466207	0.464861	0.46374	0.46283	0.462199	0.46206	0.462628	0.463849	0.465478	0.467414	0.46954	0.471693	0.473732	0.475548	0.476856	0.477481	0.477721	0.477853	0.477964	0.47796	0.477639	0.476769	0.475026	0.471703	0.466439	0.460152	0.453587	0.446987	0.440404	0.43384	0.42725	0.420621	0.413687	0.406355	0.398769	0.391088	0.383439	0.375878	0.368386	0.361081	0.354371	0.348744	0.344417	0.341123	0.338661	0.336962	0.335902	0.335359
4501	0.403854	0.40224	0.400751	0.399456	0.398458	0.397687	0.39706	0.396529	0.396083	0.395693	0.39548	0.395561	0.395951	0.39662	0.397618	0.398969	0.400482	0.402128	0.403974	0.405924	0.407835	0.409715	0.411469	0.412901	0.413859	0.414292	0.414494	0.414706	0.414915	0.415124	0.415121	0.414693	0.413714	0.412166	0.409881	0.406993	0.403613	0.399921	0.396169	0.392344	0.38833	0.384299	0.380396	0.376674	0.373107	0.369826	0.366905	0.364418	0.362344	0.360802
4521	0.349992	0.349996	0.349803	0.349435	0.348803	0.348028	0.346985	0.345917	0.344442	0.342773	0.341281	0.340071	0.338823	0.337657	0.336237	0.334451	0.332654	0.331207	0.330073	0.329035	0.328006	0.326672	0.324911	0.323446	0.322837	0.322952	0.323388	0.324072	0.324933	0.325795	0.32671	0.327797	0.328959	0.330067	0.330936	0.331808	0.332857	0.334345	0.33662	0.339659	0.343254	0.347516	0.352628	0.359106	0.366715	0.375083	0.383823	0.392485	0.401682	0.411605
4528	0.396477	0.395282	0.3935	0.390962	0.387679	0.382737	0.375706	0.366457	0.355496	0.343223	0.330674	0.318764	0.308103	0.299293	0.292794	0.288523	0.28637	0.285897	0.287079	0.289667	0.293708	0.298486	0.302734	0.305883	0.307215	0.306535	0.304321	0.301164	0.297895	0.294988	0.292064	0.289033	0.285757	0.282492	0.280499	0.280286	0.282052	0.286094	0.291897	0.298547	0.305876	0.31312	0.321589	0.331293	0.34202	0.35379	0.36639	0.379974	0.394169	0.408756
4543	0.507224	0.509886	0.512657	0.515512	0.518447	0.521497	0.5246	0.527589	0.530199	0.532205	0.533546	0.534181	0.534197	0.533836	0.533281	0.532468	0.531172	0.528992	0.525733	0.521369	0.515989	0.509694	0.50284	0.495659	0.488125	0.480216	0.471809	0.462854	0.453229	0.442902	0.432	0.420881	0.409751	0.398822	0.388232	0.378166	0.368749	0.360063	0.352093	0.344859	0.338306	0.332417	0.327108	0.322249	0.317521	0.312717	0.307908	0.303232	0.298917	0.295011
4546	0.507691	0.509811	0.511515	0.51234	0.511986	0.510776	0.509169	0.50743	0.505697	0.503989	0.502198	0.500066	0.497424	0.493928	0.489337	0.483725	0.477549	0.471146	0.464609	0.458174	0.45188	0.445618	0.439447	0.433517	0.427957	0.422672	0.417602	0.412683	0.407945	0.403334	0.398719	0.394114	0.389679	0.38579	0.382512	0.379716	0.377253	0.375093	0.373211	0.371668	0.3706	0.37005	0.369969	0.370395	0.371278	0.372663	0.374594	0.377071	0.380049	0.383417
4551	0.379691	0.375309	0.371389	0.368274	0.366125	0.364986	0.365655	0.368368	0.372876	0.37842	0.384464	0.390446	0.396372	0.402491	0.408858	0.415168	0.420833	0.425738	0.429695	0.433532	0.437368	0.44157	0.446074	0.450593	0.454923	0.458519	0.460767	0.461511	0.461231	0.460457	0.459044	0.456909	0.453538	0.448806	0.443362	0.437275	0.430856	0.424891	0.420229	0.417856	0.417716	0.419734	0.423665	0.429112	0.434454	0.438292	0.440429	0.442471	0.444422	0.446559
4565	0.546152	0.542096	0.537922	0.533428	0.528571	0.523773	0.519249	0.514868	0.510439	0.506105	0.501908	0.49801	0.494276	0.490532	0.486753	0.483216	0.480098	0.47727	0.474728	0.472552	0.470735	0.469295	0.468243	0.467765	0.467971	0.468655	0.469573	0.470837	0.472264	0.473723	0.474955	0.476102	0.477275	0.478438	0.479771	0.481339	0.483329	0.485715	0.488497	0.491567	0.494843	0.498223	0.50168	0.505279	0.509192	0.513266	0.51734	0.521373	0.525423	0.529527
